exercises_id,exercises_decoding,exercises_name,exercises_aliases,exercises_type,exercises_focus,exercises_variation,exercises_motion,exercises_grip,exercises_configuration,exercises_facilitation,exercises_orientation,exercises_equipment,exercises_difficulty
1138,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Abduction  /  -,,Abduction,Hip,,,,,,,-,
1139,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Abduction Machine⌋,Hip Abduction  /  with Fixed Abduction Machine,,Abduction,Hip,,,,,,,Fixed Abduction Machine,
1140,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Flat Bench⌋","Hip Abduction  /  with Mini Loop Band, Flat Bench",,Abduction,Hip,,,,,,,"Mini Loop Band, Flat Bench",
1134,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋,Hip Abduction  /  -,,Abduction,Hip,,,,,,,-,
1137,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋","Hip Abduction  /  with Cable Machine, Ankle Strap",,Abduction,Hip,,,,,,,"Cable Machine, Ankle Strap",
1141,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Abduction Machine⌋,1 Leg Hip Abduction  /  with Fixed Standing Abduction Machine,,Abduction,Hip,,,,1 Leg,,,Fixed Standing Abduction Machine,
1136,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Anchor⌋","Hip Abduction  /  with Mini Loop Band, Anchor",,Abduction,Hip,,,,,,,"Mini Loop Band, Anchor",
1135,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Tube Band, Ankle Strap, Anchor⌋","Hip Abduction  /  with Mini Tube Band, Ankle Strap, Anchor",,Abduction,Hip,,,,,,,"Mini Tube Band, Ankle Strap, Anchor",
1143,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Adduction  /  -,,Adduction,Hip,,,,,,,-,
1144,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Adduction Machine⌋,Hip Adduction  /  with Fixed Adduction Machine,,Adduction,Hip,,,,,,,Fixed Adduction Machine,
1142,"Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋","Hip Adduction  /  with Cable Machine, Ankle Strap",,Adduction,Hip,,,,,,,"Cable Machine, Ankle Strap",
1145,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Adduction Machine⌋,1 Leg Hip Adduction  /  with Fixed Standing Adduction Machine,,Adduction,Hip,,,,1 Leg,,,Fixed Standing Adduction Machine,
1146,Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arch Body  /  -,,Arch,Body,,,,,,,-,
1147,Arch (Body) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Arch Body  /  with Dumbbell,,Arch,Body,,,,,,,Dumbbell,
1148,Arch (Body) ⟮-⟯ [Hold] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Arch Body Hold  /  -,,Arch,Body,,Hold,,,,,-,
1149,Ballerina (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Ballerina  /  -,,Ballerina,,,,,,,,-,
1150,Battle Rope (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Battle Ropes⌋,Battle Rope  /  with Battle Ropes,,Battle Rope,,,,,,,,Battle Ropes,
1151,Bend (-) ⟮-⟯ [Forward] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Forward Bend  /  -,,Bend,,,Forward,,,,,-,
1154,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Lateral Bend  /  -,,Bend,,,Lateral,,,,,-,
1155,"Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Cable Machine, D Handle⌋","Lateral Bend  /  with Cable Machine, D Handle",,Bend,,,Lateral,,,,,"Cable Machine, D Handle",
1157,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Lateral Bend  /  with Dumbbell,,Bend,,,Lateral,,,,,Dumbbell,
1156,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Free Bar⌋,Lateral Bend  /  with Free Bar,,Bend,,,Lateral,,,,,Free Bar,
1153,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Hyperextension Bench⌋,Lateral Bend  /  with Hyperextension Bench,,Bend,,,Lateral,,,,,Hyperextension Bench,
1152,"Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Weight Plate, Stability Ball⌋","Lateral Bend  /  with Weight Plate, Stability Ball",,Bend,,,Lateral,,,,,"Weight Plate, Stability Ball",
1158,Bend (-) ⟮-⟯ [Lateral] ⟨-⟩ ⧼Raised Arm⧽ {-} ⌈-⌉ ⌊-⌋,Raised Arm Lateral Bend  /  -,,Bend,,,Lateral,,Raised Arm,,,-,
1159,Bird Dog (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Bird Dog  /  -,,Bird Dog,,,,,,,,-,
1160,Body Up (-) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Body Up  /  -,,Body Up,,,,,,,,-,
1161,Bracing (Ab) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Ab Bracing  /  -,,Bracing,Ab,,,,,,,-,
1162,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Glute Bridge  /  -,,Bridge,Glute,,,,,,,-,
1164,"Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell, Flat Bench⌋","Glute Bridge  /  with Barbell, Flat Bench",,Bridge,Glute,,,,,,,"Barbell, Flat Bench",
1165,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Barbell⌋,Glute Bridge  /  with Barbell,,Bridge,Glute,,,,,,,Barbell,
1163,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,Glute Bridge  /  with Dumbbell,,Bridge,Glute,,,,,,,Dumbbell,
1166,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Dumbbells⌋,Glute Bridge  /  with Dumbbells,,Bridge,Glute,,,,,,,Dumbbells,
1167,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,Glute Bridge  /  with Mini Loop Band,,Bridge,Glute,,,,,,,Mini Loop Band,
1174,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {Elevated} ⌈-⌉ ⌊Flat Bench⌋,Elevated Glute Bridge  /  with Flat Bench,,Bridge,Glute,,,,,Elevated,,Flat Bench,
1168,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋,1 Leg Glute Bridge  /  -,,Bridge,Glute,,,,1 Leg,,,-,
1169,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Dumbbell⌋,1 Leg Glute Bridge  /  with Dumbbell,,Bridge,Glute,,,,1 Leg,,,Dumbbell,
1170,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋,1 Leg Glute Bridge  /  with Flat Bench,,Bridge,Glute,,,,1 Leg,,,Flat Bench,
1171,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band⌋,1 Leg Glute Bridge  /  with Mini Loop Band,,Bridge,Glute,,,,1 Leg,,,Mini Loop Band,
1172,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Raised Leg⧽ {-} ⌈-⌉ ⌊-⌋,Raised Leg Glute Bridge  /  -,,Bridge,Glute,,,,Raised Leg,,,-,
1177,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Staggered⧽ {-} ⌈-⌉ ⌊-⌋,Staggered Glute Bridge  /  -,,Bridge,Glute,,,,Staggered,,,-,
1173,Bridge (Glute) ⟮-⟯ [-] ⟨-⟩ ⧼Straight Leg⧽ {-} ⌈-⌉ ⌊Flat Bench⌋,Straight Leg Glute Bridge  /  with Flat Bench,,Bridge,Glute,,,,Straight Leg,,,Flat Bench,
