exercises_id,positions_id
496,218
510,218
512,218
655,218
590,228
1008,228
612,74
17,102
191,102
1366,102
171,3
616,229
622,229
1076,369
1078,369
1081,369
196,199
497,220
972,202
804,66
14,84
16,84
22,84
25,84
135,84
136,84
147,84
168,84
179,84
190,84
194,84
195,84
209,84
263,84
369,84
591,84
608,84
609,84
623,84
629,84
630,84
784,84
810,84
840,84
841,84
843,84
858,84
859,84
860,84
861,84
862,84
863,84
879,84
889,84
906,84
907,84
908,84
909,84
911,84
912,84
913,84
917,84
921,84
922,84
942,84
986,84
1031,84
1049,84
1050,84
1061,84
1134,84
1135,84
1136,84
1137,84
1141,84
1142,84
1145,84
1203,84
1346,84
1359,84
1389,84
1408,84
1356,177
1159,27
253,314
398,87
684,87
685,87
686,87
687,87
688,87
689,87
690,87
691,87
692,87
693,87
706,87
735,87
742,87
753,87
1150,87
1215,87
1216,87
1451,87
887,29
115,76
116,76
117,76
118,76
180,76
199,76
204,76
205,76
233,76
261,76
262,76
401,76
420,76
421,76
422,76
467,76
567,76
578,76
613,76
614,76
615,76
650,76
708,76
709,76
711,76
712,76
713,76
714,76
719,76
733,76
734,76
736,76
737,76
738,76
750,76
809,76
973,76
1090,76
1012,277
1033,278
248,364
462,364
771,364
1018,364
1062,364
249,339
250,339
651,100
957,100
992,100
1149,100
959,330
968,334
1079,154
74,135
75,135
181,135
182,135
183,135
184,135
192,135
193,135
197,135
257,135
668,135
669,135
1032,135
1028,57
991,107
1120,107
607,230
534,224
338,206
365,206
367,206
370,206
593,206
508,208
520,208
40,186
89,186
90,186
91,186
96,186
264,186
284,186
285,186
311,186
411,186
816,186
1220,186
371,204
157,124
254,124
525,124
528,124
533,124
535,124
657,124
1202,124
1209,124
761,247
1127,246
1007,25
170,4
6,167
7,167
8,167
9,167
99,167
119,167
148,167
149,167
317,167
594,167
698,167
885,167
888,167
983,167
1334,167
1338,167
1339,167
852,68
893,68
894,68
899,68
902,68
1252,68
981,26
65,136
326,136
394,136
451,136
664,136
723,136
1009,136
1010,136
1034,136
137,77
1119,77
138,89
141,89
232,89
425,89
426,89
428,89
431,89
432,89
433,89
434,89
436,89
437,89
438,89
439,89
440,89
441,89
442,89
443,89
445,89
464,89
619,89
620,89
621,89
627,89
631,89
632,89
633,89
643,89
645,89
1182,89
1183,89
1184,89
1185,89
1186,89
1187,89
1204,89
1205,89
1430,89
1431,89
1433,89
1434,89
1436,89
1437,89
1438,89
1439,89
1440,89
1441,89
1447,89
78,61
335,61
336,61
677,61
678,61
694,61
703,61
710,61
744,61
787,61
964,61
982,61
1030,61
160,55
172,55
238,55
241,55
259,55
308,55
505,55
545,55
1200,55
1201,55
77,180
127,180
1132,180
1429,180
186,197
189,197
729,197
730,197
731,197
732,197
1089,197
1065,150
1066,150
1069,150
1070,150
1071,150
1072,150
1073,150
1074,150
1075,150
1077,150
1178,150
532,222
18,166
21,166
23,166
26,166
35,166
36,166
37,166
38,166
81,166
92,166
100,166
101,166
185,166
265,166
273,166
281,166
286,166
287,166
288,166
295,166
296,166
303,166
312,166
313,166
339,166
355,166
357,166
358,166
361,166
377,166
404,166
405,166
552,166
774,166
817,166
1255,166
1256,166
1275,166
1308,166
1319,166
1348,166
998,272
938,269
910,238
660,233
32,37
34,37
120,37
617,37
696,37
699,37
773,37
1297,37
1298,37
1299,37
1300,37
1301,37
1325,37
1326,37
1327,37
1328,37
1329,37
1330,37
1331,37
1332,37
1333,37
1335,37
1337,37
1307,168
114,183
388,183
586,183
587,183
811,239
1449,1449
739,51
740,51
661,234
1152,49
1153,49
82,49
568,49
636,49
486,210
487,210
490,210
491,210
492,210
501,210
521,210
522,210
529,210
44,187
346,187
1221,187
1323,187
659,104
28,140
695,140
697,140
715,140
716,140
721,140
726,140
1253,140
1254,140
1271,140
1340,140
1347,140
641,293
759,245
592,205
904,370
886,85
52,48
634,48
1349,48
493,211
506,211
198,198
1015,281
494,213
502,213
524,213
961,75
635,231
807,131
569,83
579,83
971,201
546,139
637,139
647,139
649,139
675,139
681,139
1013,139
1035,139
1138,139
1143,139
1193,139
1194,139
1235,139
1250,139
242,56
244,56
954,56
1175,56
785,253
944,253
970,18
1112,18
1122,252
1123,252
757,196
923,196
924,196
925,196
926,196
927,196
928,196
929,196
945,196
946,196
947,196
948,196
949,196
950,196
951,196
952,196
953,196
969,196
987,196
989,196
1029,196
1098,196
1108,196
1109,196
1113,196
1014,280
1002,274
1006,274
1091,274
1092,274
1093,274
1016,282
937,267
1017,267
175,193
188,193
477,193
556,193
667,193
782,193
865,193
891,193
900,193
914,193
930,193
931,193
932,193
933,193
934,193
935,193
936,193
940,193
1128,193
1129,193
1130,193
1048,291
483,337
484,337
485,337
488,337
489,337
498,337
499,337
500,337
503,337
504,337
507,337
509,337
511,337
513,337
514,337
515,337
516,337
517,337
518,337
519,337
523,337
526,337
527,337
530,337
531,337
536,337
537,337
539,337
540,337
542,337
544,337
154,188
570,188
45,185
48,185
51,185
53,185
54,185
63,185
64,185
84,185
94,185
95,185
106,185
107,185
123,185
274,185
282,185
283,185
289,185
290,185
291,185
292,185
293,185
294,185
297,185
298,185
300,185
301,185
302,185
304,185
305,185
314,185
315,185
333,185
347,185
351,185
352,185
356,185
360,185
407,185
412,185
413,185
415,185
795,185
812,185
814,185
815,185
818,185
1257,185
1270,185
1282,185
156,189
648,189
163,71
173,71
224,71
39,163
59,163
62,163
67,163
68,163
97,163
98,163
104,163
105,163
108,163
109,163
112,163
113,163
161,163
200,163
202,163
203,163
212,163
214,163
229,163
344,163
345,163
350,163
362,163
722,163
984,163
1213,163
1214,163
1218,163
1219,163
73,65
585,65
869,65
1057,65
1058,65
1059,65
1060,65
1086,65
1195,65
1196,65
1197,65
1198,65
1207,65
1246,65
235,258
236,53
237,53
239,53
243,53
246,53
247,53
541,53
1036,53
1160,53
11,138
12,138
29,138
146,138
152,138
153,138
159,138
658,138
741,138
958,138
963,138
993,138
1055,138
1146,138
1147,138
1148,138
1320,138
1350,138
1351,138
1352,138
1353,138
1355,138
1360,138
1361,138
1362,138
1363,138
1364,138
1450,138
672,178
1037,178
962,271
1027,271
128,158
260,158
1168,158
1169,158
1171,158
1172,158
1244,158
1387,158
1388,158
155,171
372,171
419,171
1011,261
1105,261
1106,261
1107,261
46,156
47,156
110,156
258,156
299,156
310,156
348,156
410,156
465,156
626,156
628,156
654,156
656,156
788,156
793,156
797,156
798,156
799,156
813,156
1064,156
1080,156
1084,156
1085,156
1161,156
1162,156
1163,156
1164,156
1166,156
1167,156
1176,156
1177,156
1226,156
1227,156
1228,156
1229,156
1230,156
1234,156
1240,156
1241,156
1245,156
178,159
187,159
625,159
1170,159
76,157
125,157
126,157
366,157
368,157
414,157
624,157
640,157
642,157
800,157
967,157
974,157
1001,157
1100,157
1131,157
1165,157
1173,157
1174,157
1225,157
1232,157
1233,157
1236,157
1237,157
1238,157
1239,157
1242,157
1247,157
1248,157
1249,157
1381,126
1384,126
653,232
430,110
240,52
1442,52
150,112
151,112
158,112
1199,112
1365,112
2,30
245,30
538,30
760,243
762,243
763,243
764,243
