positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
305,"""Type"" (Variation) ⟮Direction⟯ [Configuration] ⟨Inclination⟩ ⧼Category⧽","""Template""",-,-,-,-,-,-,-,-
82,Headstand (-) ⟮-⟯ [0 Hands] ⟨-⟩ ⧼Headstand⧽,0 Hands Headstand,No Hands Headstand,Balancing,,Headstand,-,-,0 Hands,-
28,Crawling (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Crawling,,Crawling,,Crawling,-,-,1 Arm,-
226,Dog (-) ⟮Downward⟯ [1 Arm] ⟨-⟩ ⧼Bending⧽,1 Arm Downward Dog,,Bending,,Dog,Downward,-,1 Arm,-
80,Handstand (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Handstand⧽,1 Arm Handstand,,Balancing,,Handstand,-,-,1 Arm,-
219,Plank (High) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm High Plank,,Crawling,,Plank,High,-,1 Arm,-
218,Plank (Low) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Low Plank,,Crawling,,Plank,Low,-,1 Arm,-
217,Plank (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Plank,,Crawling,,Plank,-,-,1 Arm,-
228,Leaning (-) ⟮Backward⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Backward Leaning,,Leaning,,Leaning,-,Backward,1 Leg,-
74,Bent (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Bending⧽,1 Leg Bent,,Bending,,Bent,-,-,1 Leg,-
148,Bridge (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Inversion⧽,1 Leg Bridge,,Inversion,,Bridge,-,-,1 Leg,-
102,Crawling (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Crawling,,Crawling,,Crawling,-,-,1 Leg,-
190,Dog (-) ⟮Downward⟯ [1 Leg] ⟨-⟩ ⧼Bending⧽,1 Leg Downward Dog,,Bending,,Dog,-,Downward,1 Leg,-
3,Jumping (-) ⟮Forward⟯ [1 Leg] ⟨-⟩ ⧼Suspended⧽,1 Leg Forward Jumping,1 Leg Forward Jump,Suspended,,Jumping,-,Forward,1 Leg,-
229,Leaning (-) ⟮Forward⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Forward Leaning,,Leaning,,Leaning,-,Forward,1 Leg,-
266,Squatting (Full) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Full Squatting,,Squatting,,Squatting,Full,-,1 Leg,-
221,Plank (High) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg High Plank,,Crawling,,Plank,High,-,1 Leg,-
153,Leaning (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Leaning,,Leaning,,Leaning,-,Horizontal,1 Leg,-
152,Thrust (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Lying,,Leaning,,Thrust,-,Horizontal,1 Leg,-
369,Thrust (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Thrust,,Leaning,,Thrust,-,Horizontal,1 Leg,-
199,"Plank (-) ⟮-⟯ [1 Leg, Kneeling] ⟨-⟩ ⧼Crawling⧽",1 Leg Kneeling Plank,,Crawling,,Plank,Knee,-,"1 Leg, Kneeling",-
220,Plank (Low) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Low Plank,,Crawling,,Plank,Low,-,1 Leg,-
192,Squatting (Partial) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Partial Squatting,,Squatting,,Squatting,Partial,-,1 Leg,-
202,Plank (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Plank,,Crawling,,Plank,-,-,1 Leg,-
203,Table Top (-) ⟮Reverse⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Reverse Table Top,,Crawling,,Table Top,-,Reverse,1 Leg,-
66,Squatting (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Squatting,,Squatting,,Squatting,-,-,1 Leg,-
84,Standing (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Standing⧽,1 Leg Standing,,Standing,,Standing,-,-,1 Leg,-
130,Jumping (-) ⟮Vertical⟯ [1 Leg] ⟨-⟩ ⧼Suspended⧽,1 Leg Vertical Jumping,1 Leg Vertical Jump,Suspended,,Jumping,-,Vertical,1 Leg,-
177,Kneeling (Vertical) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Kneeling⧽,1 Leg Vertical Kneeling,,Kneeling,,Kneeling,-,-,1 Leg,-
27,Crawling (-) ⟮-⟯ [2 Limbs] ⟨-⟩ ⧼Crawling⧽,2 Limbs Crawling,,Crawling,,Crawling,-,-,2 Limbs,-
