id,decoding,title,aliases,categories,subcategories,types,focuses,variations,motions,grips,configurations,facilitations,orientations,equipment,positions,difficulty,source
1138,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Abduction  /  -,,"Flexibility, Strength",Bodyweight,Abduction,Hip,,,,,,,,Lateral Lying,,../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1139,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Abduction Machine⌋,Hip Abduction  /  with Fixed Abduction Machine,,Strength,Weight Machine,Abduction,Hip,,,,,,,Fixed Abduction Machine,"Sitting, Knees Apart Sitting",,../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Abduction Machine⌋
1140,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Flat Bench⌋","Hip Abduction  /  with Mini Loop Band, Flat Bench",,Strength,Resistance Band,Abduction,Hip,,,,,,,"Mini Loop Band, Flat Bench","Sitting, Knees Apart Sitting",,"../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Flat Bench⌋"
1134,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋,Hip Abduction  /  -,,"Balance, Flexibility, Strength","Bodyweight, Stability",Abduction,Hip,,,,,,,,1 Leg Standing,,../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊-⌋
1137,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋","Hip Abduction  /  with Cable Machine, Ankle Strap",,"Balance, Strength","Stability, Weight Machine",Abduction,Hip,,,,,,,"Cable Machine, Ankle Strap",1 Leg Standing,,"../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Cable Machine, Ankle Strap⌋"
1141,Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Abduction Machine⌋,1 Leg Hip Abduction  /  with Fixed Standing Abduction Machine,,"Balance, Strength","Stability, Weight Machine",Abduction,Hip,,,,1 Leg,,,Fixed Standing Abduction Machine,1 Leg Standing,,../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Fixed Standing Abduction Machine⌋
1136,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Anchor⌋","Hip Abduction  /  with Mini Loop Band, Anchor",,"Balance, Strength","Resistance Band, Stability",Abduction,Hip,,,,,,,"Mini Loop Band, Anchor",1 Leg Standing,,"../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Loop Band, Anchor⌋"
1135,"Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Tube Band, Ankle Strap, Anchor⌋","Hip Abduction  /  with Mini Tube Band, Ankle Strap, Anchor",,"Balance, Strength","Resistance Band, Stability",Abduction,Hip,,,,,,,"Mini Tube Band, Ankle Strap, Anchor",1 Leg Standing,,"../Exercises/Abduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼1 Leg⧽ {-} ⌈-⌉ ⌊Mini Tube Band, Ankle Strap, Anchor⌋"
1143,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋,Hip Adduction  /  -,,"Flexibility, Strength",Bodyweight,Adduction,Hip,,,,,,,,Lateral Lying,,../Exercises/Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊-⌋
1144,Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Adduction Machine⌋,Hip Adduction  /  with Fixed Adduction Machine,,Strength,Weight Machine,Adduction,Hip,,,,,,,Fixed Adduction Machine,"Sitting, Knees Apart Sitting",,../Exercises/Adduction (Hip) ⟮-⟯ [-] ⟨-⟩ ⧼-⧽ {-} ⌈-⌉ ⌊Fixed Adduction Machine⌋
