id,decoding,title,aliases,categories,subcategories,types,variations,directions,configurations,inclinations,source
82,Headstand (-) ⟮-⟯ [0 Hands] ⟨-⟩ ⧼Headstand⧽,0 Hands Headstand,No Hands Headstand,Balancing,,Headstand,-,-,0 Hands,-,../Body Positions/0 Hands Headstand
28,Crawling (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Crawling,,Crawling,,Crawling,-,-,1 Arm,-,../Body Positions/1 Arm Crawling
226,Dog (-) ⟮Downward⟯ [1 Arm] ⟨-⟩ ⧼Bending⧽,1 Arm Downward Dog,,Bending,,Dog,Downward,-,1 Arm,-,../Body Positions/1 Arm Downward Dog
80,Handstand (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Handstand⧽,1 Arm Handstand,,Balancing,,Handstand,-,-,1 Arm,-,../Body Positions/1 Arm Handstand
219,Plank (High) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm High Plank,,Crawling,,Plank,High,-,1 Arm,-,../Body Positions/1 Arm High Plank
218,Plank (Low) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Low Plank,,Crawling,,Plank,Low,-,1 Arm,-,../Body Positions/1 Arm Low Plank
217,Plank (-) ⟮-⟯ [1 Arm] ⟨-⟩ ⧼Crawling⧽,1 Arm Plank,,Crawling,,Plank,-,-,1 Arm,-,../Body Positions/1 Arm Plank
228,Leaning (-) ⟮Backward⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Backward Leaning,,Leaning,,Leaning,-,Backward,1 Leg,-,../Body Positions/1 Leg Backward Leaning
74,Bent (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Bending⧽,1 Leg Bent,,Bending,,Bent,-,-,1 Leg,-,../Body Positions/1 Leg Bent
148,Bridge (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Inversion⧽,1 Leg Bridge,,Inversion,,Bridge,-,-,1 Leg,-,../Body Positions/1 Leg Bridge
102,Crawling (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Crawling,,Crawling,,Crawling,-,-,1 Leg,-,../Body Positions/1 Leg Crawling
190,Dog (-) ⟮Downward⟯ [1 Leg] ⟨-⟩ ⧼Bending⧽,1 Leg Downward Dog,,Bending,,Dog,-,Downward,1 Leg,-,../Body Positions/1 Leg Downward Dog
3,Jumping (-) ⟮Forward⟯ [1 Leg] ⟨-⟩ ⧼Suspended⧽,1 Leg Forward Jumping,1 Leg Forward Jump,Suspended,,Jumping,-,Forward,1 Leg,-,../Body Positions/1 Leg Forward Jumping
229,Leaning (-) ⟮Forward⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Forward Leaning,,Leaning,,Leaning,-,Forward,1 Leg,-,../Body Positions/1 Leg Forward Leaning
266,Squatting (Full) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Full Squatting,,Squatting,,Squatting,Full,-,1 Leg,-,../Body Positions/1 Leg Full Squatting
221,Plank (High) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg High Plank,,Crawling,,Plank,High,-,1 Leg,-,../Body Positions/1 Leg High Plank
153,Leaning (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Leaning,,Leaning,,Leaning,-,Horizontal,1 Leg,-,../Body Positions/1 Leg Horizontal Leaning
152,Thrust (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Lying,,Leaning,,Thrust,-,Horizontal,1 Leg,-,../Body Positions/1 Leg Horizontal Lying
